PMID35121907_TableS36_DrugDevelopment_Discovery_Precedence	gene
DrugDevelopmentLevel_Discovery_Precedence	ITGB1
DrugDevelopmentLevel_Discovery_Precedence	MC1R
DrugDevelopmentLevel_Discovery_Precedence	CD38
DrugDevelopmentLevel_Discovery_Precedence	IL2RG
DrugDevelopmentLevel_Discovery_Precedence	RYR2
DrugDevelopmentLevel_Discovery_Precedence	CD274
DrugDevelopmentLevel_Discovery_Precedence	CTLA4
DrugDevelopmentLevel_Discovery_Precedence	IL6R
DrugDevelopmentLevel_Discovery_Precedence	LEPR
DrugDevelopmentLevel_Discovery_Precedence	CD33
DrugDevelopmentLevel_Discovery_Precedence	TNF
DrugDevelopmentLevel_Discovery_Precedence	EPOR
DrugDevelopmentLevel_Discovery_Precedence	SSTR5
DrugDevelopmentLevel_Discovery_Precedence	SSTR2
DrugDevelopmentLevel_Discovery_Precedence	TNFSF13B
DrugDevelopmentLevel_Discovery_Precedence	SSTR1
DrugDevelopmentLevel_Discovery_Precedence	CD22
DrugDevelopmentLevel_Discovery_Precedence	PTH1R
DrugDevelopmentLevel_Discovery_Precedence	NGFR
DrugDevelopmentLevel_Discovery_Precedence	ATP1B1
DrugDevelopmentLevel_Discovery_Precedence	CCR4
DrugDevelopmentLevel_Discovery_Precedence	ITGB2
DrugDevelopmentLevel_Discovery_Precedence	ATP1B2
DrugDevelopmentLevel_Discovery_Precedence	GLP1R
DrugDevelopmentLevel_Discovery_Precedence	GABRD
DrugDevelopmentLevel_Discovery_Precedence	RAMP3
DrugDevelopmentLevel_Discovery_Precedence	RAMP1
DrugDevelopmentLevel_Discovery_Precedence	HCAR2
DrugDevelopmentLevel_Discovery_Precedence	IL17RA
DrugDevelopmentLevel_Discovery_Precedence	ITGB7
DrugDevelopmentLevel_Discovery_Precedence	ATP1B3
DrugDevelopmentLevel_Discovery_Precedence	GABRP
DrugDevelopmentLevel_Discovery_Precedence	SSTR3
DrugDevelopmentLevel_Discovery_Precedence	GABRE
DrugDevelopmentLevel_Discovery_Precedence	LHCGR
DrugDevelopmentLevel_Discovery_Precedence	FSHR
DrugDevelopmentLevel_Discovery_Precedence	RAMP2
DrugDevelopmentLevel_Discovery_Precedence	TAAR1
DrugDevelopmentLevel_Discovery_Precedence	HCN1
DrugDevelopmentLevel_Discovery_Precedence	SSTR4
DrugDevelopmentLevel_Discovery_Precedence	IL5RA
DrugDevelopmentLevel_Discovery_Precedence	CALCR
DrugDevelopmentLevel_Discovery_Precedence	CTNNB1
DrugDevelopmentLevel_Discovery_Precedence	KISS1R
DrugDevelopmentLevel_Discovery_Precedence	SPHK1
DrugDevelopmentLevel_Discovery_Precedence	GPER1
DrugDevelopmentLevel_Discovery_Precedence	SLC2A1
DrugDevelopmentLevel_Discovery_Precedence	ABCG2
DrugDevelopmentLevel_Discovery_Precedence	PLD1
DrugDevelopmentLevel_Discovery_Precedence	SLC7A11
DrugDevelopmentLevel_Discovery_Precedence	F3
DrugDevelopmentLevel_Discovery_Precedence	SLC16A3
DrugDevelopmentLevel_Discovery_Precedence	LDLR
DrugDevelopmentLevel_Discovery_Precedence	LPAR1
DrugDevelopmentLevel_Discovery_Precedence	MMP14
DrugDevelopmentLevel_Discovery_Precedence	CTSG
DrugDevelopmentLevel_Discovery_Precedence	ROS1
DrugDevelopmentLevel_Discovery_Precedence	NOX1
DrugDevelopmentLevel_Discovery_Precedence	CDC42
DrugDevelopmentLevel_Discovery_Precedence	DLK1
DrugDevelopmentLevel_Discovery_Precedence	ABCC1
DrugDevelopmentLevel_Discovery_Precedence	FOLH1
DrugDevelopmentLevel_Discovery_Precedence	SLC19A1
DrugDevelopmentLevel_Discovery_Precedence	ICAM1
DrugDevelopmentLevel_Discovery_Precedence	PLAUR
DrugDevelopmentLevel_Discovery_Precedence	MAPT
DrugDevelopmentLevel_Discovery_Precedence	SLC2A3
DrugDevelopmentLevel_Discovery_Precedence	OGT
DrugDevelopmentLevel_Discovery_Precedence	PTPN22
DrugDevelopmentLevel_Discovery_Precedence	NOTCH3
DrugDevelopmentLevel_Discovery_Precedence	BACE2
DrugDevelopmentLevel_Discovery_Precedence	ST14
DrugDevelopmentLevel_Discovery_Precedence	LPL
DrugDevelopmentLevel_Discovery_Precedence	MMP16
DrugDevelopmentLevel_Discovery_Precedence	NOX4
DrugDevelopmentLevel_Discovery_Precedence	CX3CR1
DrugDevelopmentLevel_Discovery_Precedence	SCARB1
DrugDevelopmentLevel_Discovery_Precedence	TRPM2
DrugDevelopmentLevel_Discovery_Precedence	TGFBR2
DrugDevelopmentLevel_Discovery_Precedence	SNCA
DrugDevelopmentLevel_Discovery_Precedence	PTPN13
DrugDevelopmentLevel_Discovery_Precedence	SHH
DrugDevelopmentLevel_Discovery_Precedence	TLR2
DrugDevelopmentLevel_Discovery_Precedence	NOTCH2
DrugDevelopmentLevel_Discovery_Precedence	TYRO3
DrugDevelopmentLevel_Discovery_Precedence	GPR35
DrugDevelopmentLevel_Discovery_Precedence	HSPA8
DrugDevelopmentLevel_Discovery_Precedence	APP
DrugDevelopmentLevel_Discovery_Precedence	BMPR1B
DrugDevelopmentLevel_Discovery_Precedence	SLC16A1
DrugDevelopmentLevel_Discovery_Precedence	NT5E
DrugDevelopmentLevel_Discovery_Precedence	CD81
DrugDevelopmentLevel_Discovery_Precedence	NOS3
DrugDevelopmentLevel_Discovery_Precedence	PAK1
DrugDevelopmentLevel_Discovery_Precedence	MYLK
DrugDevelopmentLevel_Discovery_Precedence	PRNP
DrugDevelopmentLevel_Discovery_Precedence	BMPR1A
DrugDevelopmentLevel_Discovery_Precedence	ALPL
DrugDevelopmentLevel_Discovery_Precedence	CXCR3
DrugDevelopmentLevel_Discovery_Precedence	ACPP
DrugDevelopmentLevel_Discovery_Precedence	CD4
DrugDevelopmentLevel_Discovery_Precedence	ADAM17
DrugDevelopmentLevel_Discovery_Precedence	ITPR1
DrugDevelopmentLevel_Discovery_Precedence	MCHR1
DrugDevelopmentLevel_Discovery_Precedence	ENPP1
DrugDevelopmentLevel_Discovery_Precedence	ACVR2B
DrugDevelopmentLevel_Discovery_Precedence	PRF1
DrugDevelopmentLevel_Discovery_Precedence	DLG4
DrugDevelopmentLevel_Discovery_Precedence	ADCYAP1R1
DrugDevelopmentLevel_Discovery_Precedence	ADAM8
DrugDevelopmentLevel_Discovery_Precedence	DDR1
DrugDevelopmentLevel_Discovery_Precedence	NEDD4
DrugDevelopmentLevel_Discovery_Precedence	HSD17B2
DrugDevelopmentLevel_Discovery_Precedence	P2RY6
DrugDevelopmentLevel_Discovery_Precedence	FURIN
DrugDevelopmentLevel_Discovery_Precedence	PAM
DrugDevelopmentLevel_Discovery_Precedence	SLC22A2
DrugDevelopmentLevel_Discovery_Precedence	SLC1A1
DrugDevelopmentLevel_Discovery_Precedence	ABCC5
DrugDevelopmentLevel_Discovery_Precedence	TRPC6
DrugDevelopmentLevel_Discovery_Precedence	SLC1A2
DrugDevelopmentLevel_Discovery_Precedence	CAMK2G
DrugDevelopmentLevel_Discovery_Precedence	ASIC1
DrugDevelopmentLevel_Discovery_Precedence	ARF1
DrugDevelopmentLevel_Discovery_Precedence	TEC
DrugDevelopmentLevel_Discovery_Precedence	PTPRA
DrugDevelopmentLevel_Discovery_Precedence	SLC1A3
DrugDevelopmentLevel_Discovery_Precedence	PI4KA
DrugDevelopmentLevel_Discovery_Precedence	FCGR1A
DrugDevelopmentLevel_Discovery_Precedence	TNFRSF1A
DrugDevelopmentLevel_Discovery_Precedence	DNM2
DrugDevelopmentLevel_Discovery_Precedence	SLC2A2
DrugDevelopmentLevel_Discovery_Precedence	FES
DrugDevelopmentLevel_Discovery_Precedence	ACVR1
DrugDevelopmentLevel_Discovery_Precedence	MERTK
DrugDevelopmentLevel_Discovery_Precedence	SLC15A1
DrugDevelopmentLevel_Discovery_Precedence	TRPV6
DrugDevelopmentLevel_Discovery_Precedence	TMPRSS6
DrugDevelopmentLevel_Discovery_Precedence	TIE1
DrugDevelopmentLevel_Discovery_Precedence	BMX
DrugDevelopmentLevel_Discovery_Precedence	ADORA3
DrugDevelopmentLevel_Discovery_Precedence	TNK2
DrugDevelopmentLevel_Discovery_Precedence	FPR1
DrugDevelopmentLevel_Discovery_Precedence	SLC9A1
DrugDevelopmentLevel_Discovery_Precedence	CHRNA2
DrugDevelopmentLevel_Discovery_Precedence	CCR6
DrugDevelopmentLevel_Discovery_Precedence	AGER
DrugDevelopmentLevel_Discovery_Precedence	FPR2
DrugDevelopmentLevel_Discovery_Precedence	MARK2
DrugDevelopmentLevel_Discovery_Precedence	SLC22A1
DrugDevelopmentLevel_Discovery_Precedence	AOC3
DrugDevelopmentLevel_Discovery_Precedence	GPBAR1
DrugDevelopmentLevel_Discovery_Precedence	ABCB11
DrugDevelopmentLevel_Discovery_Precedence	TRPM4
DrugDevelopmentLevel_Discovery_Precedence	F2RL1
DrugDevelopmentLevel_Discovery_Precedence	RASGRP1
DrugDevelopmentLevel_Discovery_Precedence	LPAR5
DrugDevelopmentLevel_Discovery_Precedence	RIPK1
DrugDevelopmentLevel_Discovery_Precedence	ECE1
DrugDevelopmentLevel_Discovery_Precedence	ACKR3
DrugDevelopmentLevel_Discovery_Precedence	P2RY1
DrugDevelopmentLevel_Discovery_Precedence	MPEG1
DrugDevelopmentLevel_Discovery_Precedence	PTPRG
DrugDevelopmentLevel_Discovery_Precedence	LPAR3
DrugDevelopmentLevel_Discovery_Precedence	CAMK2A
DrugDevelopmentLevel_Discovery_Precedence	NOS1
DrugDevelopmentLevel_Discovery_Precedence	LTK
DrugDevelopmentLevel_Discovery_Precedence	SLC40A1
DrugDevelopmentLevel_Discovery_Precedence	ITPR3
DrugDevelopmentLevel_Discovery_Precedence	HSD17B7
DrugDevelopmentLevel_Discovery_Precedence	ADAM10
DrugDevelopmentLevel_Discovery_Precedence	ACVR2A
DrugDevelopmentLevel_Discovery_Precedence	PRSS8
DrugDevelopmentLevel_Discovery_Precedence	GPR39
DrugDevelopmentLevel_Discovery_Precedence	DAGLB
DrugDevelopmentLevel_Discovery_Precedence	GPR4
DrugDevelopmentLevel_Discovery_Precedence	TPSG1
DrugDevelopmentLevel_Discovery_Precedence	SLC47A1
DrugDevelopmentLevel_Discovery_Precedence	GPR17
DrugDevelopmentLevel_Discovery_Precedence	ALOX15B
DrugDevelopmentLevel_Discovery_Precedence	FCGRT
DrugDevelopmentLevel_Discovery_Precedence	NPY1R
DrugDevelopmentLevel_Discovery_Precedence	APLNR
DrugDevelopmentLevel_Discovery_Precedence	FER
DrugDevelopmentLevel_Discovery_Precedence	LPAR2
DrugDevelopmentLevel_Discovery_Precedence	QRFPR
DrugDevelopmentLevel_Discovery_Precedence	PTPRB
DrugDevelopmentLevel_Discovery_Precedence	GRM1
DrugDevelopmentLevel_Discovery_Precedence	HPN
DrugDevelopmentLevel_Discovery_Precedence	PTPRS
DrugDevelopmentLevel_Discovery_Precedence	PTPRF
DrugDevelopmentLevel_Discovery_Precedence	FOLR2
DrugDevelopmentLevel_Discovery_Precedence	KCNN2
DrugDevelopmentLevel_Discovery_Precedence	PIK3C2A
DrugDevelopmentLevel_Discovery_Precedence	FFAR4
DrugDevelopmentLevel_Discovery_Precedence	ASIC3
DrugDevelopmentLevel_Discovery_Precedence	MMP15
DrugDevelopmentLevel_Discovery_Precedence	SLC13A5
DrugDevelopmentLevel_Discovery_Precedence	GIPR
DrugDevelopmentLevel_Discovery_Precedence	PRLHR
DrugDevelopmentLevel_Discovery_Precedence	INSRR
DrugDevelopmentLevel_Discovery_Precedence	NAALAD2
DrugDevelopmentLevel_Discovery_Precedence	SLC46A1
DrugDevelopmentLevel_Discovery_Precedence	TMPRSS11D
DrugDevelopmentLevel_Discovery_Precedence	OXER1
DrugDevelopmentLevel_Discovery_Precedence	GRM8
DrugDevelopmentLevel_Discovery_Precedence	GPR183
DrugDevelopmentLevel_Discovery_Precedence	NPBWR1
DrugDevelopmentLevel_Discovery_Precedence	CCR8
DrugDevelopmentLevel_Discovery_Precedence	PLA2G2F
DrugDevelopmentLevel_Discovery_Precedence	PKN2
DrugDevelopmentLevel_Discovery_Precedence	SLC47A2
DrugDevelopmentLevel_Discovery_Precedence	MUSK
DrugDevelopmentLevel_Discovery_Precedence	CAMK2B
DrugDevelopmentLevel_Discovery_Precedence	SLC10A1
DrugDevelopmentLevel_Discovery_Precedence	NPSR1
DrugDevelopmentLevel_Discovery_Precedence	CYSLTR2
DrugDevelopmentLevel_Discovery_Precedence	GPR88
DrugDevelopmentLevel_Discovery_Precedence	AGTR2
DrugDevelopmentLevel_Discovery_Precedence	PKN1
DrugDevelopmentLevel_Discovery_Precedence	SORT1
DrugDevelopmentLevel_Discovery_Precedence	C3AR1
DrugDevelopmentLevel_Discovery_Precedence	NTSR2
DrugDevelopmentLevel_Discovery_Precedence	AAK1
DrugDevelopmentLevel_Discovery_Precedence	GPR84
DrugDevelopmentLevel_Discovery_Precedence	LPAR6
DrugDevelopmentLevel_Discovery_Precedence	CCR3
DrugDevelopmentLevel_Discovery_Precedence	CAMK2D
DrugDevelopmentLevel_Discovery_Precedence	SLC5A4
DrugDevelopmentLevel_Discovery_Precedence	P2RY10
DrugDevelopmentLevel_Discovery_Precedence	GPR174
DrugDevelopmentLevel_Discovery_Precedence	P2RY11
DrugDevelopmentLevel_Discovery_Precedence	DAGLA
DrugDevelopmentLevel_Discovery_Precedence	ACVR1B
DrugDevelopmentLevel_Discovery_Precedence	SLC28A2
DrugDevelopmentLevel_Discovery_Precedence	TRPC3
DrugDevelopmentLevel_Discovery_Precedence	PROKR1
DrugDevelopmentLevel_Discovery_Precedence	SLC27A1
DrugDevelopmentLevel_Discovery_Precedence	NPFFR2
DrugDevelopmentLevel_Discovery_Precedence	SLC11A2
DrugDevelopmentLevel_Discovery_Precedence	KCNJ1
DrugDevelopmentLevel_Discovery_Precedence	NPFFR1
DrugDevelopmentLevel_Discovery_Precedence	LPAR4
DrugDevelopmentLevel_Discovery_Precedence	MC3R
DrugDevelopmentLevel_Discovery_Precedence	SLC6A7
DrugDevelopmentLevel_Discovery_Precedence	MC5R
DrugDevelopmentLevel_Discovery_Precedence	GPR55
DrugDevelopmentLevel_Discovery_Precedence	NPY2R
DrugDevelopmentLevel_Discovery_Precedence	SLC5A7
